,date,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
175,2020-06-24 00:00:00,148.76,152.81,148.42,152.81,IEX,426142,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:57,-0.24853505758739147,-0.24853505758739147,152.81,148.76,152.81,148.42,426142,151.567,147.5499,151.567,147.2127,426142,"Jun 24, 20",-3.430000000000007,-0.0225
174,2020-06-25 00:00:00,152.19,152.3,145.85,148.7,IEX,559282,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:59,-0.2312083249141241,-0.2312083249141241,148.7,152.19,152.3,145.85,559282,147.4904,150.952,151.0611,144.6636,559282,"Jun 25, 20",-2.569999999999993,-0.0166
173,2020-06-26 00:00:00,154.76,155.58,151.5,151.6,IEX,1808621,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:56,-0.21822590422307545,-0.21822590422307545,151.6,154.76,155.58,151.5,1808621,150.3668,153.5011,154.3144,150.2676,1808621,"Jun 26, 20",0.37000000000000455,0.0024
172,2020-06-29 00:00:00,154.39,156.05,153.49,155.84,IEX,412019,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:51,-0.22009496868054162,-0.22009496868054162,155.84,154.39,156.05,153.49,412019,154.5723,153.1341,154.7806,152.2414,412019,"Jun 29, 20",-3.6500000000000057,-0.0231
171,2020-06-30 00:00:00,158.04,159.03,153.43,153.86,IEX,411052,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:52,-0.201656900383916,-0.201656900383916,153.86,158.04,159.03,153.43,411052,152.6084,156.7544,157.7364,152.1819,411052,"Jun 30, 20",2.1999999999999886,0.0141
170,2020-07-01 00:00:00,155.84,158.47,155.275,158.25,IEX,264067,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:56,-0.2127702566174985,-0.2127702566174985,158.25,155.84,158.47,155.275,264067,156.9627,154.5723,157.1809,154.0119,264067,"Jul 1, 20",-2.049999999999983,-0.013
169,2020-07-02 00:00:00,157.89,160.0,156.88,157.45,IEX,347155,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:51,-0.20241462921802394,-0.20241462921802394,157.45,157.89,160.0,156.88,347155,156.1692,156.6056,158.6985,155.6039,347155,"Jul 2, 20",-2.140000000000015,-0.0134
168,2020-07-06 00:00:00,160.03,160.69,158.24,160.35,IEX,350252,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:56,-0.1916043645180845,-0.1916043645180845,160.35,160.03,160.69,158.24,350252,159.0456,158.7282,159.3829,156.9528,350252,"Jul 6, 20",1.6999999999999886,0.0107
167,2020-07-07 00:00:00,158.33,160.62,157.62,158.9,IEX,229392,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:57,-0.20019195797130732,-0.20019195797130732,158.9,158.33,160.62,157.62,229392,157.6074,157.0421,159.3134,156.3378,229392,"Jul 7, 20",0.5200000000000102,0.0033
166,2020-07-08 00:00:00,157.81,159.1,156.69,158.41,IEX,180046,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:53,-0.2028187512628814,-0.2028187512628814,158.41,157.81,159.1,156.69,180046,157.1214,156.5263,157.8058,155.4154,180046,"Jul 8, 20",0.6200000000000045,0.0039
165,2020-07-09 00:00:00,157.19,158.39,155.16,156.94,IEX,315099,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:52,-0.20595069711052744,-0.20595069711052744,156.94,157.19,158.39,155.16,315099,155.6634,155.9113,157.1016,153.8979,315099,"Jul 9, 20",0.25,0.0016
164,2020-07-10 00:00:00,156.94,157.7,155.825,157.24,IEX,252301,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:59,-0.20721357850070726,-0.20721357850070726,157.24,156.94,157.7,155.825,252301,155.9609,155.6634,156.4172,154.5574,252301,"Jul 10, 20",-2.5,-0.0157
